category_name,label
category_1,月季花
category_2,山茶
category_3,紫荆
category_4,石楠
category_5,朱槿
category_6,花烛
category_7,海桐
category_8,红花酢浆草
category_9,碧冬茄
category_10,诸葛菜
category_11,蒲公英
category_12,小叶女贞
category_13,一年蓬
category_14,蜀葵
category_15,梨花
category_16,野迎春
category_17,假连翘
category_18,重瓣榆叶梅
category_19,金边黄杨
category_20,大波斯菊
category_21,芍药
category_22,洋桔梗
category_23,紫茉莉
category_24,重瓣棣棠花
category_25,郁金香
category_26,大花蕙兰
category_27,莲
category_28,万寿菊
category_29,松果菊
category_30,醉蝶花
category_31,玉簪
category_32,韭莲
category_33,白晶菊
category_34,文竹
category_35,报春花
category_36,龙血树
category_37,翠雀
category_38,建兰
category_39,向日葵
category_40,千屈菜
category_41,兰屿肉桂
category_42,百子莲
category_43,半边莲
category_44,孔雀竹芋
category_45,结香
category_46,白掌
category_47,散尾葵
category_48,蒲苇
category_49,紫露草
category_50,锦带花
category_51,绣线菊
category_52,金丝桃
category_53,铃兰
category_54,肾蕨
category_55,短叶虎尾兰
category_56,韭
category_57,菠菜
category_58,中国石蒜
category_59,尖裂假还阳参
category_60,菊芋
category_61,蓖麻
category_62,墨兰
category_63,五星花
category_64,篱栏网
category_65,荷包牡丹
category_66,合果芋
category_67,蓝花丹
category_68,银羽竹芋
category_69,凤尾丝兰
category_70,朱蕉
category_71,绣线菊
category_72,风信子
category_73,白鸟
category_74,美丽月见草
category_75,双荚决明
category_76,红睡莲
category_77,花月夜
category_78,地肤
category_79,长隔木
category_80,花毛茛
category_81,合欢
category_82,人参榕
category_83,白花洋紫荆
category_84,旅人蕉
category_85,刺儿菜
category_86,木棉
category_87,米仔兰
category_88,丝瓜
category_89,仙人掌
category_90,虎尾兰
category_91,堪察加费菜
category_92,蝎尾蕉
category_93,木荷
category_94,花叶冷水花
category_95,金苞花
category_96,大吴风草
category_97,紫穗槐
category_98,吉娃莲
category_99,火炬花
category_100,荇菜
category_101,捕蝇草
category_102,非洲菊
category_103,垂花悬铃花
category_104,绶草
category_105,韩信草
category_106,吊兰
category_107,草莓
category_108,二齿猪笼草
category_109,圆盖阴石蕨
category_110,蓝花楹
category_111,罂粟
category_112,金鸡毛草
category_113,水麻
category_114,乙女心
category_115,金边吊兰
category_116,紫背天鹅绒竹芋
category_117,蒲桃
category_118,天门冬
category_119,豌豆
category_120,红雀珊瑚
category_121,马齿苋
category_122,香雪兰
category_123,柠檬
category_124,菝葜
category_125,野罂粟
category_126,龟背竹
category_127,多肉植物
category_128,银柳
category_129,苋
category_130,桔子树
category_131,少花柏拉木
category_132,狭叶龙舌兰
category_133,黄水仙
category_134,棒叶落地生根
category_135,棕竹
category_136,花月夜
category_137,若绿
category_138,山鸡椒
category_139,芦苇
category_140,红豆杉
category_141,飘香藤
category_142,斑种草
category_143,小叶榄仁
category_144,叉花草
category_145,一叶兰
category_146,蒲儿根
category_147,丝兰
category_148,马尾松
category_149,云南含笑
category_150,华重楼
category_151,金合欢
category_152,毛泡桐
category_153,野老鹳草
category_154,刺儿菜
category_155,紫玉兰
category_156,刺柏
category_157,红宝石
category_158,榆叶梅
category_159,唐印
category_160,南美水仙
category_161,秋丽
category_162,木芙蓉
category_163,接骨木
category_164,何首乌
category_165,葡萄
category_166,圆锥绣球
category_167,款冬
category_168,黑麦草
category_169,紫堇
category_170,吊灯扶桑
category_171,筋骨草
category_172,千叶吊兰
category_173,杜仲
category_174,麒麟掌
category_175,马尾松
category_176,杠柳
category_177,金钱松
category_178,美女樱
category_179,艳日辉
category_180,薄雪万年草
category_181,雷童
category_182,独根草
category_183,荔枝
category_184,文冠果
category_185,流苏树
category_186,铁线莲
category_187,还亮草
category_188,马蹄金
category_189,火烧花
category_190,栝楼
category_191,朴树
category_192,延胡索
category_193,大薸
category_194,狐尾藻
category_195,菜豆树
category_196,峨参
category_197,珙桐
category_198,夏至草
category_199,蟛蜞菊
category_200,黄刺玫
category_201,半夏
category_202,木香花
category_203,黄金榕
category_204,地梢瓜
category_205,白桦
category_206,大花葱
category_207,卷柏
category_208,蜡花
category_209,山梅花
category_210,广布野豌豆
category_211,紫叶小檗
category_212,岩白菜
category_213,祗园之舞
category_214,雀舌黄杨
category_215,蓬莱松
category_216,臭椿
category_217,斑叶堇菜
category_218,丹参
category_219,臭牡丹
category_220,嘉兰
category_221,玉露
category_222,银露梅
category_223,稻
category_224,荞麦
category_225,白鸟
category_226,杨梅
category_227,蓍
category_228,八角莲
category_229,清香木
category_230,美蔷薇
category_231,兰草
category_232,荆条
category_233,辣椒
category_234,蓝盆花
category_235,粉团蔷薇
category_236,狭叶珍珠菜
category_237,木鼠尾草
category_238,达摩福娘
category_239,桃美人
category_240,红三叶草
category_241,野胡萝卜
category_242,山玉兰
category_243,花叶青木
category_244,三角槭
category_245,蜀葵
category_246,曼陀罗
category_247,山梅花
category_248,富贵竹
category_249,蒲葵
category_250,龙芽草
category_251,紫菀
category_252,君迁子
category_253,猩猩草
category_254,珊瑚花
category_255,芙蓉菊
category_256,翻白草
category_257,麦仙翁
category_258,月桂
category_259,萱草
category_260,红桑
category_261,海棠
category_262,胡萝卜
category_263,鸦胆子
category_264,野燕麦
category_265,风轮菜
category_266,白花蛇舌草
category_267,蜜蜂花
category_268,蜡瓣花
category_269,红果仔
category_270,朱槿
category_271,羊角拗
category_272,头状四照花
category_273,红背桂
category_274,胡枝子
category_275,翠菊
category_276,芸香
category_277,千年木
category_278,丽娜莲
category_279,商陆
category_280,牵牛
category_281,照波
category_282,柳叶马鞭草
category_283,绣球藤
category_284,佛肚树
category_285,佩兰
category_286,甜瓜
category_287,天竺葵
category_288,膨珊瑚
category_289,金光菊
category_290,淫羊藿
category_291,交让木
category_292,地锦
category_293,大百合
category_294,蓝蓟
category_295,萍蓬草
category_296,喜树
category_297,灯笼果
category_298,灯心草
category_299,秋海棠
category_300,红苞喜林芋
category_301,木槿
category_302,银桦
category_303,冬青卫矛
category_304,狗尾草
category_305,香彩雀
category_306,落葵薯
category_307,番木瓜
category_308,高山榕
category_309,狗牙根
category_310,芋头
category_311,杧果
category_312,鸡矢藤
category_313,山莓
category_314,糖胶树
category_315,地菍
category_316,碧桃
category_317,鹅肠菜
category_318,扁豆
category_319,
category_320,
category_321,
category_322,
category_323,
category_324,
category_325,
category_326,
category_327,
category_328,
category_329,
category_330,
category_331,
category_332,
category_333,
category_334,
category_335,
category_336,
category_337,
category_338,
category_339,
category_340,
